id,kitchen_name,lat,lng,add,capacity,image
1,먼슬리키친_역삼점,37.509391,127.03618,서울특별시 강남구 언주로113길 14,2019-11-01,6
2,먼슬리키친_논현점,37.509391,127.036184,서울특별시 강남구 언주로113길 14,2019-11-01,6
3,위쿡_사직점,37.574813,126.96702,서울특별시 종로구 인왕산로 5,2019-11-01,6
4,위쿡_송파점,37.509094,127.085709,서울특별시 송파구 석촌호수로12길 5,2019-11-01,6
5,고스트키친_삼성점,37.507972,127.06262,서울특별시 강남구 테헤란로 534,2019-11-01,6
6,고스트키친_강남점,37.496192,127.024906,서울특별시 서초구 서운로 142-4,2019-11-01,6
7,심플키친_역삼점,37.501417,127.036338,서울특별시 강남구 논현로 507,2019-11-01,6
8,심플키친_송파점,37.499935,127.112169,서울특별시 송파구 송파대로 354,2019-11-01,6
9,심플키친_삼성점,37.507962,127.064238,서울특별시 강남구 영동대로 430,2019-11-01,6
10,심플키친_화곡점,37.540892,126.840305,서울특별시 강서구 화곡로26길 13,2019-11-01,6
11,셰플리_강남점,37.499399,127.042999,서울특별시 강남구 언주로79길 12,2019-11-01,6
12,셰플리_송파점,37.506484,127.101093,서울특별시 송파구 송파대로49길 33,2019-11-01,6
13,셰플리_서초점,37.499574,127.042926,서울특별시 강남구 언주로 427,2019-11-01,6
14,셰플리_영등포점,37.518227,126.907335,서울특별시 영등포구 영중로8길 14,2019-11-01,6
15,셰플리_강서점,37.548864,126.835741,서울특별시 강서구 강서로45나길 16,2019-11-01,6
16,먼슬리키친_강남1호점,37.499531,127.031385,서울시 강남구 테헤란로 123,2020-06-21,6
17,고스트키친_송파점,37.506696,127.100544,서울시 서울 송파구 석촌호수로 210 석촌호수효성해링턴타워,2020-06-21,6
18,고스트키친_관악점,37.481382,126.943094,서울 관악구 장군봉1길 56,2020-06-21,6
19,고스트키친_노원점,37.654137,127.058502,서울 노원구 노해로 455 인산빌딩,2020-06-21,6